Brand,Store Number,Store Name,Ownership Type,Street Address,City,Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,49285-267764,Robinson Lopburi,Company Owned,"Phaholyothin Rd., Muang",Lopburi,Lopburi,THAILAND,15000,,GMT+07:00 Asia/Bangkok,100.69,14.78
Starbucks,22145-218090,Kluang Mall,Licensed,"Jln Rambutan, G-10, Ground Floor","Bandar Kluang, Kluang",Johor,MALAYSIA,86000,,GMT+08:00 Asia/Kuala_Lumpur,103.32,2.04
Starbucks,22152-218094,Petronas Bayu Senibong,Licensed,"Taman Bayu Senibong, Mukim Plentong, PTD 148135",Bayu Senibong,Johor,MALAYSIA,81750,,GMT+08:00 Asia/Kuala_Lumpur,103.8,1.49
Starbucks,18927-184364,Seri Alam,Licensed,"8 Jalan Suria, Bandar Seri Alam",Johor Bahru,Johor,MALAYSIA,81750,,GMT+08:00 Asia/Kuala_Lumpur,103.87,1.5
Starbucks,50001-272225,Senai Airport,Licensed,"Lot S11, Aero Mall, Senai International Airport",Johor Bahru,Johor,MALAYSIA,81250,,GMT+08:00 Asia/Kuala_Lumpur,103.67,1.64
Starbucks,25311-240185,Danga Bay,Licensed,"Sales Gallery, Lot PTB 22056, Danga Bay, Jalan Skudai",Johor Bahru,Johor,MALAYSIA,80200,,GMT+08:00 Asia/Kuala_Lumpur,103.71,1.49
Starbucks,21233-210285,Tesco Tebrau,Licensed,"No.1, Persiaran Desa Tebrau, Lot No.G7 & G8, Ground Floor",Johor Bahru,Johor,MALAYSIA,81100,,GMT+08:00 Asia/Kuala_Lumpur,103.8,1.55
Starbucks,20876-208707,AEON Kulaijaya,Licensed,"Persiaran Indahpura Utama, Bdr Indahpura, G68, Ground Floor",Johor Bharu,Johor,MALAYSIA,81000,,GMT+08:00 Asia/Kuala_Lumpur,103.62,1.64
Starbucks,47501-258464,IOI Mall Kulai DT,Licensed,"Lot No. G-OSE 3/5/6, GF, IOI Mall Kulai, Lebuh Putra Utama, Bandar Putra",Kulai Johor,Johor,MALAYSIA,81000,,GMT+08:00 Asia/Kuala_Lumpur,103.6,1.68
Starbucks,24971-239310,Shell Bandar Seri Alam,Licensed,"Lot S1, Ground Floor, PTD 220529, Persiaran Seri Alam, Bandar Seri Alam",MUKIM PLENTONG,Johor,MALAYSIA,81750,,GMT+08:00 Asia/Kuala_Lumpur,103.88,1.51
Starbucks,19396-201906,Puteri Harbour,Licensed,"Persiaran Puteri Selatan, Puteri Harbour, Lot 1D, Ground Floor",Nusajaya,Johor,MALAYSIA,79000,,GMT+08:00 Asia/Kuala_Lumpur,103.66,1.42
Starbucks,49288-267945,Segamat Sri Utama,Licensed,"Ground & 1st Floor, No. 25, Jalan Utama, 3/2",Segamat Johor,Johor,MALAYSIA,85000,,GMT+08:00 Asia/Kuala_Lumpur,102.82,2.51
Starbucks,25161-238184,Taman Molek,Licensed,"Jalan Molek 3/20, Taman Molek, 21-G & 21-1",Taman Molek,Johor,MALAYSIA,81100,,GMT+08:00 Asia/Kuala_Lumpur,103.79,1.53
Starbucks,22462-221127,The Shore,Licensed,"Jalan Persiaran Bunga Raya, GF-10",Melaka Tengah,Wilayah Persekutuan,MALAYSIA,75300,,GMT+08:00 Asia/Kuala_Lumpur,102.25,2.2
Starbucks,19790-202844,Port Dickson,Licensed,"PD Waterfront, HS(D) 8376 PT 74, Port of HS(D) 9376 PT 74",Port Dickson,Negeri Sembilan,MALAYSIA,71000,,GMT+08:00 Asia/Kuala_Lumpur,101.79,2.52
Starbucks,22609-222727,Petron Genting Permai,Licensed,"Jalan Permai 2, Genting Permai Avenue, Lot 21078",Genting Highlands,Pahang,MALAYSIA,69000,,GMT+08:00 Asia/Kuala_Lumpur,101.77,3.39
Starbucks,22610-222730,Starbucks Teluk Cempedak,Licensed,"Jalan Tengku Abu Bakar, No 1&2, Pusat Rekreasi, Teluk Cempedak",Kuantan,Pahang,MALAYSIA,25050,,GMT+08:00 Asia/Kuala_Lumpur,103.37,3.81
Starbucks,50376-274504,Sky Avenue,Licensed,"Lot T2B-31, Sky Avenue, Genting Highlands",Pahang,Pahang,MALAYSIA,69000,,GMT+08:00 Asia/Kuala_Lumpur,101.79,3.42
Starbucks,24509-238149,AEON - Bukit Mertajam,Licensed,Lot G08 & G08A,Bukit Mertajam,Pulau Pinang,MALAYSIA,14000,,GMT+08:00 Asia/Kuala_Lumpur,100.44,5.37
Starbucks,25802-242470,Icon City DT,Licensed,Bukit Tengah,Bukit Mertajam,Pulau Pinang,MALAYSIA,14000,,GMT+08:00 Asia/Kuala_Lumpur,100.43,5.34
Starbucks,26885-245712,Raja Uda DT,Licensed,"Butterworth Business City Centre, Jalan Raja Uda",Butterworth,Pulau Pinang,MALAYSIA,12300,,GMT+08:00 Asia/Kuala_Lumpur,100.38,5.43
Starbucks,22745-224006,Sri Pinang DT,Licensed,"Lebuh Sungai Pinang, L1-1, L1-2, L1-3, L2-1",Georgetown,Pulau Pinang,MALAYSIA,11600,,GMT+08:00 Asia/Kuala_Lumpur,100.33,5.4
Starbucks,23030-227024,Burmah Road,Licensed,"Jalan Burmah, 403-A",Georgetown,Pulau Pinang,MALAYSIA,10350,,GMT+08:00 Asia/Kuala_Lumpur,100.32,5.43
Starbucks,33910-247010,Mansion One,Licensed,"Ground Floor, Mansion 1, Jalan Sultan Ahmad Shah",Penang,Pulau Pinang,MALAYSIA,10050,,GMT+08:00 Asia/Kuala_Lumpur,100.33,5.42
Starbucks,20851-208705,Gurney Paragon,Licensed,"G-30, Gurney Paragon, Persiaran Gurney",Penang,Pulau Pinang,MALAYSIA,10250,,GMT+08:00 Asia/Kuala_Lumpur,100.31,5.43
Starbucks,48204-251331,Design Village,Licensed,"esLot G30,733 Jalan Cassia Barat 2, 14110 Bandar Cassia",Penang,Pulau Pinang,MALAYSIA,0,,GMT+08:00 Asia/Kuala_Lumpur,100.29,5.4
Starbucks,23201-228504,Batu Ferringhi,Licensed,"69, Jalan Batu Ferringhi",Penang,Pulau Pinang,MALAYSIA,11000,,GMT+08:00 Asia/Kuala_Lumpur,100.25,5.47
Starbucks,20065-147988,Sunway Tambun DT,Licensed,"Part of Lost HS(D) KA 72917, Mukim Hulu, Kinta, Daerah Kinta",Ipoh,Perak,MALAYSIA,31150,,GMT+08:00 Asia/Kuala_Lumpur,101.15,4.63
Starbucks,21353-212064,Medan Gopeng,Licensed,"Jalan Raja Dr. Nazrin Shah, Jalan Gopeng, Kampung Rapat",Ipoh,Perak,MALAYSIA,31350,,GMT+08:00 Asia/Kuala_Lumpur,101.11,4.57
Starbucks,23238-228624,Kampar Tin Village,Licensed,"Lot No. 5 & 6, Ground Floor, Tin Village Mall",Kampar,Perak,MALAYSIA,31900,,GMT+08:00 Asia/Kuala_Lumpur,101.15,4.33
Starbucks,22627-222729,AEON Taiping,Licensed,"Lot G08, Ground Floor, AEON Mall Taiping, Jalan Kamunting",Taiping,Perak,MALAYSIA,34600,,GMT+08:00 Asia/Kuala_Lumpur,100.73,4.87
Starbucks,22143-218093,Petronas Ampang Jaya,Licensed,"Tmn Dato Ahmad Razali, Phase 1, Grd Floor",Ampang,Selangor,MALAYSIA,68000,,GMT+08:00 Asia/Kuala_Lumpur,101.75,3.16
Starbucks,47836-260028,D Pulze,Licensed,"G 28, D PULZE Shopping Centre,, Lingkaran Cyber Point Timur, Cyber 12",Cyberjaya,Selangor,MALAYSIA,63000,,GMT+08:00 Asia/Kuala_Lumpur,101.65,2.92
Starbucks,29248-253094,Tesco Bandar Bukit Puchong,Licensed,"Lot G1, Grd Flr, Tesco Bdr Bkt Puchong, PT 80259, Jln BP7/1, Bdr Bkt Puchong",Mukim Petaling,Selangor,MALAYSIA,47110,,GMT+08:00 Asia/Kuala_Lumpur,101.45,3.08
Starbucks,22140-218092,Menara Axis,Licensed,"No.2 Jln 51A/223, Ground Floor",Petaling Jaya,Selangor,MALAYSIA,46100,,GMT+08:00 Asia/Kuala_Lumpur,101.64,3.1
Starbucks,23249-228625,Atria,Licensed,"G39, Ground Floor Atria Shopping Gallery, Jalan 22/23, Damansara Jaya",Petaling Jaya,Selangor,MALAYSIA,47400,,GMT+08:00 Asia/Kuala_Lumpur,101.62,3.13
Starbucks,22532-221926,Encorp Strand,Licensed,"No 1. Kalan PJU 5/23, Pusat Perdagangan, Log G-08 &G-09, Ground floor",Petaling Jaya,Selangor,MALAYSIA,47810,,GMT+08:00 Asia/Kuala_Lumpur,101.59,3.16
Starbucks,22157-218091,Damansara Perdana,Licensed,"Jalan PJU 8/8, A=LG-03",Petaling Jaya,Selangor,MALAYSIA,47820,,GMT+08:00 Asia/Kuala_Lumpur,101.61,3.17
Starbucks,50000-272226,PJ8,Licensed,"No 21, Jalan Barat, Petaling Jaya, Selangor",Petaling Jaya,Selangor,MALAYSIA,46200,,GMT+08:00 Asia/Kuala_Lumpur,101.64,3.1
Starbucks,33903-213724,Jaya Shopping Centre,Licensed,"Lot G15 & G-16, Ground Floor, Lot G 15A & G-16, Ground Floor",Petaling Jaya,Selangor,MALAYSIA,46100,,GMT+08:00 Asia/Kuala_Lumpur,101.64,3.11
Starbucks,48866-265645,Amcorp Tower,Licensed,"G-01, Grd Flr, Amcorp Tower, 18, Persiaran Barat",Petaling Jaya Selangor,Selangor,MALAYSIA,46050,,GMT+08:00 Asia/Kuala_Lumpur,101.65,3.1
Starbucks,24238-236224,Bandar Puteri Puchong,Licensed,"Lot TC-05, IOI Galleria @ The Cube",Puchong,Selangor,MALAYSIA,47100,,GMT+08:00 Asia/Kuala_Lumpur,101.62,3.03
Starbucks,33953-222728,Alamanda 2 at AGC,Licensed,"Bangunan Jabatan Peguan Negara AGC, Persint 4, Lot 1, Level 1",Putrajaya,Selangor,MALAYSIA,62100,,GMT+08:00 Asia/Kuala_Lumpur,101.71,2.94
Starbucks,22142-218089,Petronas Rawang R&R,Licensed,"Rawat Rawang, Lebuhraya Utara Selatan, (Arah Utara)",Rawang,Selangor,MALAYSIA,48000,,GMT+08:00 Asia/Kuala_Lumpur,101.56,3.33
Starbucks,21579-208704,SDMC,Licensed,"Sime Darby Medical Centre, No. 1, Jalan SS 12/1a, SS12, Subang Jaya",Selangor,Selangor,MALAYSIA,47500,,GMT+08:00 Asia/Kuala_Lumpur,101.59,3.08
Starbucks,26044-243286,Citta Mall,Licensed,"G15, Ground Floor, Citta Mall, 1, Jln PJU 1A/48, Jln PJU 1, Ara Dsara",Selangor,Selangor,MALAYSIA,47301,,GMT+08:00 Asia/Kuala_Lumpur,101.58,3.11
Starbucks,48865-265667,Mitsui Outlet Park,Licensed,"Lot G65, Mitsui Outlet Park, KLIA, Sepang",Selangor,Selangor,MALAYSIA,64000,,GMT+08:00 Asia/Kuala_Lumpur,101.68,2.78
Starbucks,20856-208706,Petronas Lingkaran Karak,Licensed,"Lebuhraya KL-Karak,Mukim Setapak, Gombak",Selangor,Selangor,MALAYSIA,68100,,GMT+08:00 Asia/Kuala_Lumpur,103.76,1.46
Starbucks,48353-263108,KLIA 2 Satellite,Licensed,"Lot No. S6-2-A41, Departure Level",Sepang,Selangor,MALAYSIA,64000,,GMT+08:00 Asia/Kuala_Lumpur,101.69,2.74
Starbucks,19337-195305,Gateway at KLIA2,Licensed,"Unit No. L3-25 Level 3, Gateway @ KLIA2",Sepang,Selangor,MALAYSIA,64000,,GMT+08:00 Asia/Kuala_Lumpur,101.69,2.74
Starbucks,19406-198925,KLIA2 - Airside Domestic,Licensed,"S1-1a-A02, Domestic Departure & Arrival, Level (Airside), KLIA2",Sepang,Selangor,MALAYSIA,64000,,GMT+08:00 Asia/Kuala_Lumpur,101.69,2.74
Starbucks,47928-260550,Mines City DT,Licensed,"L3-19AP, Level 3, The Mines, Jalan Dulang, MINES Resort City",Seri Kembangan,Selangor,MALAYSIA,43300,,GMT+08:00 Asia/Kuala_Lumpur,101.72,3.03
Starbucks,19754-195208,Main Place,Licensed,"Jalan USJ 21/10, Persiaran Kewajipan, Lot No. GF-01",Subang Jaya,Selangor,MALAYSIA,47630,,GMT+08:00 Asia/Kuala_Lumpur,101.58,3.03
Starbucks,25148-239966,One City,Licensed,"Jalan USJ 25/1, No A-GF-03, A-GF-03A & A-GF-03B",Subang Jaya,Selangor,MALAYSIA,47650,,GMT+08:00 Asia/Kuala_Lumpur,101.58,3.02
Starbucks,25804-242471,Da Men,Licensed,"Lot LG-8, Lower Ground Floor, Jalan USJ Sentral 1, USJ Sentral",Subang Jaya,Selangor,MALAYSIA,47500,,GMT+08:00 Asia/Kuala_Lumpur,101.58,3.07
Starbucks,23673-216288,Imago KK Times Square,Licensed,"G33B & G33C, Ground Floor, Imago KK Times Square",Kota Kinabalu,Sabah,MALAYSIA,88100,,GMT+000000 Asia/Kuching,116.07,5.97
Starbucks,20800-207344,Oceanus Waterfront,Licensed,"Jalan Fuad Stephen, Unit G35, Ground Floor",Kota Kinabalu,Sabah,MALAYSIA,88000,,GMT+000000 Asia/Kuching,116.07,5.98
Starbucks,47722-259544,Kota Kinabalu Intl Airport (Landsid,Licensed,"L1L10, Lvl 1 Landside, Terminal 1",Sabah,Sabah,MALAYSIA,88740,,GMT+000000 Asia/Kuching,116.09,5.97
Starbucks,21630-213708,Bintulu Times Square Mall,Licensed,"Lot No. 20B, Level 1,, Time Square Megamall",Bintulu,Sarawak,MALAYSIA,97014,,GMT+08:00 Asia/Kuala_Lumpur,102.23,4.41
Starbucks,18641-193904,Summer Mall,Licensed,"Jalan Dato Mohd Musa, G25,G25,G27,G98&G9, G25,G25,G27,G98&G99",Kota Samarahan,Sarawak,MALAYSIA,93350,,GMT+08:00 Asia/Kuala_Lumpur,110.43,1.46
Starbucks,19720-201166,Imperial City Mall,Licensed,"Jalan Merpati, Ground Floor",Miri,Sarawak,MALAYSIA,98000,,GMT+08:00 Asia/Kuala_Lumpur,113.99,4.4
Starbucks,47500-258465,Marina Parkcity DT,Licensed,"No. 1, Block 9, Miri Concession Land District",Miri Sarawak,Sarawak,MALAYSIA,98000,,GMT+08:00 Asia/Kuala_Lumpur,114.03,4.29
Starbucks,47946-260564,Sibu Pedada,Licensed,"Lot 3047 Block 3, Sibu Town District, Jalan Pedada",Sibu,Sarawak,MALAYSIA,96000,,GMT+08:00 Asia/Kuala_Lumpur,111.85,2.31
Starbucks,25155-237965,MBC Tower,Licensed,"11, Jalan Raja Laut, Ground Floor",KL,Wilayah Persekutuan,MALAYSIA,50100,,GMT+08:00 Asia/Kuala_Lumpur,101.69,3.16
Starbucks,28994-252012,TREC,Licensed,"E-G-15 & E-A-15, Ground Floor, Electric Boulevard, TREC",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,50450,,GMT+08:00 Asia/Kuala_Lumpur,101.7,3.15
Starbucks,49999-272228,Publika,Licensed,"Lot 42, G2, Publika Shopping Gallery, No. 1, Jln Dutamas 1, Solaris Dutamas",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,50480,,GMT+08:00 Asia/Kuala_Lumpur,101.67,3.17
Starbucks,24275-236921,Menara Binjai,Licensed,"No.2, Jalan Binjai, G-02",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,50450,,GMT+08:00 Asia/Kuala_Lumpur,101.72,3.16
Starbucks,25308-240184,Mid Valley 2,Licensed,"T-073, Third Floor, Mid Valley Megamall, Lingkaran Syed Putra",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,59200,,GMT+08:00 Asia/Kuala_Lumpur,103.73,1.47
Starbucks,18461-186352,Cheras Sentral,Licensed,"Lot LG-16, 17 & 18, Low Ground Floor, Cheras Sentral",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,56000,,GMT+08:00 Asia/Kuala_Lumpur,101.75,3.08
Starbucks,21871-206347,Quill City Mall,Licensed,Jalan Sultan Ismail,Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,50250,,GMT+08:00 Asia/Kuala_Lumpur,101.7,3.16
Starbucks,21707-214566,Taman Connaught,Licensed,"2, Jalan Menara Gading 1, Ground Floor, Taman Connaught",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,56000,,GMT+08:00 Asia/Kuala_Lumpur,101.73,3.08
Starbucks,24624-238387,Sunway Velocity,Licensed,"Jalan Cheras, Cheras",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,55100,,GMT+08:00 Asia/Kuala_Lumpur,101.72,3.13
Starbucks,19120-178904,Club Nexu5,Licensed,"Club Nexu5, Bangsar South, Lot F&B 01, Ground Floor",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,59200,,GMT+08:00 Asia/Kuala_Lumpur,101.68,3.13
Starbucks,21868-213704,Teknology Park Malaysia DT,Licensed,"Jalan Teknologi Malaysia, Wisma Scope International, PT15084",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,57000,,GMT+08:00 Asia/Kuala_Lumpur,101.69,3.05
Starbucks,20431-205551,Avenue K,Licensed,"156 Jalan Ampang, G-7, Ground Floor",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,50450,,GMT+08:00 Asia/Kuala_Lumpur,101.71,3.16
Starbucks,48876-265646,Ampang DT,Licensed,"Lot 4258 & 4259, Jalan Ampang",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,50450,,GMT+08:00 Asia/Kuala_Lumpur,101.44,3.09
Starbucks,23233-228626,Kepong Village Mall,Licensed,"No.3, Jln 7A/62A, Bdr Menjalara, Lot G1 & G2, Ground Floor",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,52200,,GMT+08:00 Asia/Kuala_Lumpur,101.63,3.19
Starbucks,18947-196928,Lot 10,Licensed,"50 Jalan Sultan Ismail, Lot H-20 Terrace, Lot 10 Shopping Centre",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,50250,,GMT+08:00 Asia/Kuala_Lumpur,101.71,3.15
Starbucks,21220-210284,SOHO KL,Licensed,"Solaris Mont Kiara, No.2, Jalan Solaris, Mont Kiara",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,50480,,GMT+08:00 Asia/Kuala_Lumpur,101.66,3.18
Starbucks,22141-218086,Wisma UOA,Licensed,"No.19, Jalan Pinang, 19-1-2, Ground Floor",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,50450,,GMT+08:00 Asia/Kuala_Lumpur,101.71,3.15
Starbucks,49170-267228,Labuan Airport,Licensed,"L1L06, Level 1, Landside, Labuan Airport, Jalan Tun Mustapha, Taman Sec Airport",Labuan,Wilayah Persekutuan,MALAYSIA,87015,,GMT+000000 Asia/Kuching,115.26,5.3
Starbucks,26648-244844,Komtar JBCC,Licensed,"Lot No.239, Second Floor, JBCC, Johor Bahru City Centre",Johor Bahru,Johor,MALAYSIA,80000,,GMT+08:00 Asia/Kuala_Lumpur,103.76,1.46
Starbucks,24880-197644,IOI City,Licensed,"Unit No. GE-2, Ground Floor,, IOI City Mall",Putrajaya,Wilayah Persekutuan,MALAYSIA,62502,,GMT+08:00 Asia/Kuala_Lumpur,101.71,2.97
Starbucks,49441-269128,Ibis building,Licensed,"2 Hong Ha st, Ward 2, Tan Binh Dist, Tầng trệt Tòa Nhà President Place",Ho Chi Minh,Ho Chi Minh,VIETNAM,0,,GMT+000000 Asia/Saigon,106.67,10.81
Starbucks,23633-223885,Đông Du,Licensed,"38 Đông Du, Quận 1",Thành Phố Hồ Chí Minh,Ho Chi Minh,VIETNAM,70000,,GMT+000000 Asia/Saigon,106.7,10.78
Starbucks,16866-169626,Mega Bangna,Company Owned,"38,39, Moo 6 Bangna-Trad km 8 rd.",Bang Plea,Samut Prakarn,THAILAND,10540,908806194,GMT+07:00 Asia/Bangkok,100.68,13.65
Starbucks,3152-136561,ConcourseB-Airside-SAP,Company Owned,"999, Passenger terminal, 4th floor, Suvarnabhumi airport, Moo1, Suvarnabhumi Airport - BKK",Bangphi,Samut Prakarn,THAILAND,10540,844387442,GMT+07:00 Asia/Bangkok,100.75,13.69
Starbucks,31109-103519,Suvarnabhumi Airport,Company Owned,"999, Passenger terminal, 3rd Floor, Suvarnabhumi airport, Moo 1",Bangphi,Samut Prakarn,THAILAND,10540,844387400,GMT+07:00 Asia/Bangkok,100.75,13.69
Starbucks,1959-143984,Lotus Srinakarin-Samut Prakarn,Company Owned,"Lotus Srinakarin, No. 9, Moo 6, Srinakarin road",Muang,Samut Prakarn,THAILAND,10270,844387450,GMT+07:00 Asia/Bangkok,100.62,13.62
Starbucks,27571-239306,At United Bangna,Company Owned,"Bangna-Trad Road, Bang Keaw, Bang Plea, Market Village Suvarnabhumi",Samut Prakan,Samut Prakarn,THAILAND,10540,626010570,GMT+07:00 Asia/Bangkok,100.66,13.66
Starbucks,25508-241152,Market Village Suvarnabhumi,Company Owned,"99/28 Moo1 Rachathewa, Bangplee",Samutprakarn,Samut Prakarn,THAILAND,10540,613852963,GMT+07:00 Asia/Bangkok,100.71,13.63
Starbucks,23817-233151,Robinson Samutprakarn,Company Owned,"Sukhumvit rd., Tai Ban, Mueng",Samutprakarn,Samut Prakarn,THAILAND,10280,922601405,GMT+07:00 Asia/Bangkok,100.61,13.58
Starbucks,16496-171973,The Walk Ratchapruek,Company Owned,"189 The Walk Ratchapruek, Moo2 Ratchapruek Road, The Chaengwattana Avenue",Bang Kruai,Nonthaburi,THAILAND,11130,818457414,GMT+07:00 Asia/Bangkok,100.45,13.82
Starbucks,31106-99895,SF Chaengwattana,Company Owned,"104/45, The Chaengwattana Avenue, Moo 1 Chaengwattana Road",Lanksi,Bangkok,THAILAND,10210,844387376,GMT+07:00 Asia/Bangkok,100.56,13.89
Starbucks,31107-104476,HomeWorks Rattanathibeth,Company Owned,"68/100, 1st Floor HomeWorks, Rattanathibeth. Moo 8 Rattanathibeth Rd, Central West Gate-2nd Floor",Muang,Nonthaburi,THAILAND,11000,844387396,GMT+07:00 Asia/Bangkok,100.5,13.87
Starbucks,25740-242173,Central West Gate-2nd Floor,Company Owned,"199,199/1,199/2 2nd Floor, Moo, Saothonghin,Bangyai, Central West Gate-1st Floor",Nontha Buri,Nonthaburi,THAILAND,11140,614192836,GMT+07:00 Asia/Bangkok,100.41,13.88
Starbucks,25741-242172,Central West Gate-1st Floor,Company Owned,"199,199/1,199/2 1st Floor, Moo 6, Saothonghin, Bangyai, Robinson Srisamarn",Nontha Buri,Nonthaburi,THAILAND,11140,982573115,GMT+07:00 Asia/Bangkok,100.41,13.88
Starbucks,28737-250875,Robinson Srisamarn,Company Owned,"Srisamarn rd., BaanMai, Pakkred, The Crystal Ratchapruek",Nonthaburi,Nonthaburi,THAILAND,11120,614216430,GMT+07:00 Asia/Bangkok,100.55,13.94
Starbucks,22328-202165,The Crystal Ratchapruek,Company Owned,"Ratchapruek Road, Bangkanun, Bangkruay",Nonthaburi,Nonthaburi,THAILAND,11130,844387438,GMT+07:00 Asia/Bangkok,100.45,13.81
Starbucks,20069-202164,The Crystal PTT Chaiyapruek,Company Owned,"Chaiyapruek Road, Klongpornadum, Pak Kre",Nonthaburi,Nonthaburi,THAILAND,11120,982514512,GMT+07:00 Asia/Bangkok,100.47,13.92
Starbucks,33746-96051,Impact,Company Owned,"99, Popular Road, Sport City",Pakkred,Nonthaburi,THAILAND,11120,844387366,GMT+07:00 Asia/Bangkok,100.55,13.91
Starbucks,33755-99308,Sport City,Company Owned,"20/262-4, Moo 9 Prachachean Road",Pakkred,Nonthaburi,THAILAND,11120,844387378,GMT+07:00 Asia/Bangkok,100.55,13.88
Starbucks,33737-87883,Nichada Thani,Company Owned,"39/514, Moo 3, ZPELL",Pakkred,Nonthaburi,THAILAND,11120,844387354,GMT+07:00 Asia/Bangkok,100.53,13.89
Starbucks,28738-250876,ZPELL,Company Owned,"Phaholyothin Road, Prachatippathai, Thunburi",Pathum Thani,Pathum Thani,THAILAND,12130,614219074,GMT+07:00 Asia/Bangkok,100.62,13.99
Starbucks,20815-207466,Auto Mall - Navanakorn,Company Owned,"Phaholyothin Road, Klong 1, Klong Luang, Rangsit University",Pathum Thani,Pathum Thani,THAILAND,12120,982769130,GMT+07:00 Asia/Bangkok,100.62,14.11
Starbucks,47915-260265,Rangsit University,Company Owned,"52/347 Muang-Ek Village Paholyothin Road, Lakhok, Muang,, Thammasat University - Rangsit",Prathumthani,Pathum Thani,THAILAND,12000,613896271,GMT+07:00 Asia/Bangkok,100.59,13.96
Starbucks,47919-260264,Thammasat U. Rangsit Library,Company Owned,"99 Moo 18 Paholyothin Road,, Klong Luang, Rangsit,, Future Park Rangsit",Prathumthani,Pathum Thani,THAILAND,12121,613896270,GMT+07:00 Asia/Bangkok,100.6,14.07
Starbucks,30797-100558,Future Park Rangsit,Company Owned,"94, Future Park Rangsit, Phaholyothin Road",Thunburi,Pathum Thani,THAILAND,12130,844387389,GMT+07:00 Asia/Bangkok,100.62,13.99
Starbucks,21259-210352,Fast Fac,Company Owned,"Phaholyothin Road km56, Lamsai Sub-district, Wangnoi District, 126 Moo 3 Highway no.32",Phra Nakhon Si Ayutthaya,Ayutthaya,THAILAND,13170,922834319,GMT+07:00 Asia/Bangkok,100.64,14.19
Starbucks,20220-204224,Ayutthaya City Park,Company Owned,"126 Moo 3 Highway no. 32, Klong Suanploo, Robinson Lopburi",Phra Nakhon Si Ayutthaya,Ayutthaya,THAILAND,13000,922614354,GMT+07:00 Asia/Bangkok,100.61,14.34
